2026-03-12 23:08:21.796 | INFO     | __main__:<module>:154 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:08:21.797 | INFO     | __main__:<module>:155 - Target Video: E:\片\EVA新世纪福音战士\新剧场版\EVA新世纪福音战士新剧场版3.0+1.01：终.mkv
2026-03-12 23:08:21.798 | INFO     | __main__:extract_frames_with_fallback:58 - Extracting raw frames (trying I-frames first)...
2026-03-12 23:13:00.854 | INFO     | __main__:__init__:19 - Initializing MobileNetV3 for frame deduplication...
2026-03-12 23:13:00.918 | INFO     | __main__:extract_key_frames_smart:113 - Filtering 2587 raw frames through deep semantic deduplication...
2026-03-12 23:14:00.713 | INFO     | __main__:extract_key_frames_smart:136 - Deduplication finished in 59.86s.
2026-03-12 23:14:00.714 | INFO     | __main__:extract_key_frames_smart:137 - Reduced from 2587 raw frames to 2560 keyframes.
2026-03-12 23:14:00.725 | INFO     | __main__:extract_key_frames_smart:146 - Total processing time: 338.93s
2026-03-12 23:14:00.725 | INFO     | __main__:<module>:166 - === Test Completed ===
2026-03-12 23:15:20.929 | INFO     | __main__:<module>:154 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:15:20.930 | INFO     | __main__:<module>:155 - Target Video: E:\片\EVA新世纪福音战士\旧TV+剧场版\03.mkv
2026-03-12 23:15:20.932 | INFO     | __main__:extract_frames_with_fallback:58 - Extracting raw frames (trying I-frames first)...
2026-03-12 23:15:50.510 | INFO     | __main__:__init__:19 - Initializing MobileNetV3 for frame deduplication...
2026-03-12 23:15:50.567 | INFO     | __main__:extract_key_frames_smart:113 - Filtering 448 raw frames through deep semantic deduplication...
2026-03-12 23:15:59.727 | INFO     | __main__:extract_key_frames_smart:136 - Deduplication finished in 9.22s.
2026-03-12 23:15:59.727 | INFO     | __main__:extract_key_frames_smart:137 - Reduced from 448 raw frames to 425 keyframes.
2026-03-12 23:15:59.739 | INFO     | __main__:extract_key_frames_smart:146 - Total processing time: 38.81s
2026-03-12 23:15:59.740 | INFO     | __main__:<module>:166 - === Test Completed ===
2026-03-12 23:26:56.183 | INFO     | __main__:<module>:202 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:26:56.185 | INFO     | __main__:<module>:203 - Target Video: E:\片\EVA新世纪福音战士\新剧场版\EVA新世纪福音战士新剧场版3.0+1.01：终.mkv
2026-03-12 23:26:56.186 | INFO     | __main__:extract_frames_with_fallback:94 - Extracting raw candidate frames using stable scene detect...
2026-03-12 23:32:05.818 | WARNING  | __main__:extract_frames_with_fallback:128 - Discarded 19491 severely corrupted frames.
2026-03-12 23:32:05.826 | INFO     | __main__:<module>:213 - === Test Completed ===
2026-03-12 23:36:59.532 | INFO     | __main__:<module>:202 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:36:59.533 | INFO     | __main__:<module>:203 - Target Video: E:\片\EVA新世纪福音战士\旧TV+剧场版\04.mkv
2026-03-12 23:36:59.535 | INFO     | __main__:extract_frames_with_fallback:94 - Extracting raw candidate frames using stable scene detect...
2026-03-12 23:37:33.016 | WARNING  | __main__:extract_frames_with_fallback:128 - Discarded 976 severely corrupted frames.
2026-03-12 23:37:33.017 | INFO     | __main__:<module>:213 - === Test Completed ===
2026-03-12 23:37:55.267 | INFO     | __main__:<module>:202 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:37:55.268 | INFO     | __main__:<module>:203 - Target Video: E:\片\EVA新世纪福音战士\旧TV+剧场版\04.mkv
2026-03-12 23:37:55.269 | INFO     | __main__:extract_frames_with_fallback:94 - Extracting raw candidate frames using stable scene detect...
2026-03-12 23:38:28.392 | WARNING  | __main__:extract_frames_with_fallback:128 - Discarded 976 severely corrupted frames.
2026-03-12 23:38:28.393 | INFO     | __main__:<module>:213 - === Test Completed ===
2026-03-12 23:38:48.319 | INFO     | __main__:<module>:202 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:38:48.321 | INFO     | __main__:<module>:203 - Target Video: E:\片\EVA新世纪福音战士\旧TV+剧场版\04.mkv
2026-03-12 23:38:48.323 | INFO     | __main__:extract_frames_with_fallback:94 - Extracting raw candidate frames using stable scene detect...
2026-03-12 23:39:21.545 | WARNING  | __main__:extract_frames_with_fallback:128 - Discarded 976 severely corrupted frames.
2026-03-12 23:39:21.546 | INFO     | __main__:<module>:213 - === Test Completed ===
2026-03-12 23:40:14.496 | INFO     | __main__:<module>:152 - === Starting Smart Keyframe Extraction Test ===
2026-03-12 23:40:14.498 | INFO     | __main__:<module>:153 - Target Video: E:\片\EVA新世纪福音战士\旧TV+剧场版\04.mkv
2026-03-12 23:40:14.499 | INFO     | __main__:extract_frames_with_fallback:58 - Extracting raw frames (trying I-frames first)...
2026-03-12 23:40:41.146 | INFO     | __main__:__init__:19 - Initializing MobileNetV3 for frame deduplication...
2026-03-12 23:40:41.199 | INFO     | __main__:extract_key_frames_smart:113 - Filtering 383 raw frames through deep semantic deduplication...
2026-03-12 23:40:48.831 | INFO     | __main__:extract_key_frames_smart:136 - Deduplication finished in 7.69s.
2026-03-12 23:40:48.831 | INFO     | __main__:extract_key_frames_smart:137 - Reduced from 383 raw frames to 352 keyframes.
2026-03-12 23:40:48.840 | INFO     | __main__:extract_key_frames_smart:146 - Total processing time: 34.34s
2026-03-12 23:40:48.842 | INFO     | __main__:<module>:164 - === Test Completed ===
